Ga0081607_1241	Methylobacter-123 (UID203) 
Ga0081607_1242	Methylobacter-123 (UID203) 
Ga0081607_1243	Methylobacter-123 (UID203) 
Ga0081607_1244	Methylobacter-123 (UID203) 
Ga0081607_1245	Methylobacter-123 (UID203) 
Ga0081607_1246	Methylobacter-123 (UID203) 
Ga0081607_1247	Methylobacter-123 (UID203) 
Ga0081607_1248	Methylobacter-123 (UID203) 
Ga0081607_1249	Methylobacter-123 (UID203) 
Ga0081607_1250	Methylobacter-123 (UID203) 
Ga0081607_1251	Methylobacter-123 (UID203) 
Ga0081607_1252	Methylobacter-123 (UID203) 
Ga0081607_1253	Methylobacter-123 (UID203) 
Ga0081607_1254	Methylobacter-123 (UID203) 
Ga0081607_1255	Methylobacter-123 (UID203) 
Ga0081607_1256	Methylobacter-123 (UID203) 
Ga0081607_1257	Methylobacter-123 (UID203) 
Ga0081607_1258	Methylobacter-123 (UID203) 
Ga0081607_1259	Methylobacter-123 (UID203) 
Ga0081607_1260	Methylobacter-123 (UID203) 
Ga0081608_1001	Methylotenera mobilis-123 (UID3888)
Ga0081608_1002	Methylotenera mobilis-123 (UID3888)
Ga0081608_1003	Methylotenera mobilis-123 (UID3888)
Ga0081608_1004	Methylotenera mobilis-123 (UID3888)
Ga0081608_1005	Methylotenera mobilis-123 (UID3888)
Ga0081608_1006	Methylotenera mobilis-123 (UID3888)
Ga0081608_1007	Methylotenera mobilis-123 (UID3888)
Ga0081608_1008	Methylotenera mobilis-123 (UID3888)
Ga0081608_1009	Methylotenera mobilis-123 (UID3888)
Ga0081608_1010	Methylotenera mobilis-123 (UID3888)
Ga0081608_1011	Methylotenera mobilis-123 (UID3888)
Ga0081608_1012	Methylotenera mobilis-123 (UID3888)
Ga0081608_1013	Methylotenera mobilis-123 (UID3888)
Ga0081608_1014	Methylotenera mobilis-123 (UID3888)
Ga0081608_1015	Methylotenera mobilis-123 (UID3888)
Ga0081608_1016	Methylotenera mobilis-123 (UID3888)
Ga0081608_1017	Methylotenera mobilis-123 (UID3888)
Ga0081608_1018	Methylotenera mobilis-123 (UID3888)
Ga0081608_1019	Methylotenera mobilis-123 (UID3888)
Ga0081608_1020	Methylotenera mobilis-123 (UID3888)
Ga0081608_1021	Methylotenera mobilis-123 (UID3888)
Ga0081608_1022	Methylotenera mobilis-123 (UID3888)
Ga0081608_1023	Methylotenera mobilis-123 (UID3888)
Ga0081608_1024	Methylotenera mobilis-123 (UID3888)
Ga0081608_1025	Methylotenera mobilis-123 (UID3888)
Ga0081608_1026	Methylotenera mobilis-123 (UID3888)
Ga0081608_1027	Methylotenera mobilis-123 (UID3888)
Ga0081608_1028	Methylotenera mobilis-123 (UID3888)
Ga0081608_1029	Methylotenera mobilis-123 (UID3888)
Ga0081608_1030	Methylotenera mobilis-123 (UID3888)
Ga0081608_1031	Methylotenera mobilis-123 (UID3888)
Ga0081608_1032	Methylotenera mobilis-123 (UID3888)
Ga0081608_1033	Methylotenera mobilis-123 (UID3888)
Ga0081608_1034	Methylotenera mobilis-123 (UID3888)
Ga0081608_1035	Methylotenera mobilis-123 (UID3888)
Ga0081608_1036	Methylotenera mobilis-123 (UID3888)
Ga0081608_1037	Methylotenera mobilis-123 (UID3888)
Ga0081608_1038	Methylotenera mobilis-123 (UID3888)
Ga0081608_1039	Methylotenera mobilis-123 (UID3888)
Ga0081608_1040	Methylotenera mobilis-123 (UID3888)
Ga0081608_1041	Methylotenera mobilis-123 (UID3888)
Ga0081608_1042	Methylotenera mobilis-123 (UID3888)
Ga0081608_1043	Methylotenera mobilis-123 (UID3888)
Ga0081608_1044	Methylotenera mobilis-123 (UID3888)
Ga0081608_1045	Methylotenera mobilis-123 (UID3888)
Ga0081608_1046	Methylotenera mobilis-123 (UID3888)
Ga0081608_1047	Methylotenera mobilis-123 (UID3888)
Ga0081608_1048	Methylotenera mobilis-123 (UID3888)
Ga0081608_1049	Methylotenera mobilis-123 (UID3888)
Ga0081608_1050	Methylotenera mobilis-123 (UID3888)
Ga0081608_1051	Methylotenera mobilis-123 (UID3888)
Ga0081608_1052	Methylotenera mobilis-123 (UID3888)
Ga0081608_1053	Methylotenera mobilis-123 (UID3888)
Ga0081608_1054	Methylotenera mobilis-123 (UID3888)
Ga0081608_1055	Methylotenera mobilis-123 (UID3888)
Ga0081608_1056	Methylotenera mobilis-123 (UID3888)
Ga0081608_1057	Methylotenera mobilis-123 (UID3888)
Ga0081608_1058	Methylotenera mobilis-123 (UID3888)
Ga0081608_1059	Methylotenera mobilis-123 (UID3888)
Ga0081608_1060	Methylotenera mobilis-123 (UID3888)
Ga0081608_1061	Methylotenera mobilis-123 (UID3888)
Ga0081608_1062	Methylotenera mobilis-123 (UID3888)
Ga0081608_1063	Methylotenera mobilis-123 (UID3888)
Ga0081608_1064	Methylotenera mobilis-123 (UID3888)
Ga0081608_1065	Methylotenera mobilis-123 (UID3888)
Ga0081608_1066	Methylotenera mobilis-123 (UID3888)
Ga0081608_1067	Methylotenera mobilis-123 (UID3888)
Ga0081608_1068	Methylotenera mobilis-123 (UID3888)
Ga0081608_1069	Methylotenera mobilis-123 (UID3888)
Ga0081608_1070	Methylotenera mobilis-123 (UID3888)
Ga0081608_1071	Methylotenera mobilis-123 (UID3888)
Ga0081608_1072	Methylotenera mobilis-123 (UID3888)
Ga0081608_1073	Methylotenera mobilis-123 (UID3888)
Ga0081608_1074	Methylotenera mobilis-123 (UID3888)
Ga0081608_1075	Methylotenera mobilis-123 (UID3888)
Ga0081608_1076	Methylotenera mobilis-123 (UID3888)
Ga0081608_1077	Methylotenera mobilis-123 (UID3888)
Ga0081608_1078	Methylotenera mobilis-123 (UID3888)
Ga0081608_1079	Methylotenera mobilis-123 (UID3888)
Ga0081608_1080	Methylotenera mobilis-123 (UID3888)
Ga0081608_1081	Methylotenera mobilis-123 (UID3888)
Ga0081608_1082	Methylotenera mobilis-123 (UID3888)
Ga0081608_1083	Methylotenera mobilis-123 (UID3888)
Ga0081608_1084	Methylotenera mobilis-123 (UID3888)
Ga0081608_1085	Methylotenera mobilis-123 (UID3888)
Ga0081608_1086	Methylotenera mobilis-123 (UID3888)
Ga0081608_1087	Methylotenera mobilis-123 (UID3888)
Ga0081608_1088	Methylotenera mobilis-123 (UID3888)
Ga0081608_1089	Methylotenera mobilis-123 (UID3888)
Ga0081608_1090	Methylotenera mobilis-123 (UID3888)
Ga0081608_1091	Methylotenera mobilis-123 (UID3888)
Ga0081608_1092	Methylotenera mobilis-123 (UID3888)
Ga0081608_1093	Methylotenera mobilis-123 (UID3888)
Ga0081608_1094	Methylotenera mobilis-123 (UID3888)
Ga0081608_1095	Methylotenera mobilis-123 (UID3888)
Ga0081608_1096	Methylotenera mobilis-123 (UID3888)
Ga0081608_1097	Methylotenera mobilis-123 (UID3888)
Ga0081608_1098	Methylotenera mobilis-123 (UID3888)
Ga0081608_1099	Methylotenera mobilis-123 (UID3888)
Ga0081608_1100	Methylotenera mobilis-123 (UID3888)
Ga0081608_1101	Methylotenera mobilis-123 (UID3888)
Ga0081608_1102	Methylotenera mobilis-123 (UID3888)
Ga0081608_1103	Methylotenera mobilis-123 (UID3888)
Ga0081608_1104	Methylotenera mobilis-123 (UID3888)
Ga0081608_1105	Methylotenera mobilis-123 (UID3888)
Ga0081608_1106	Methylotenera mobilis-123 (UID3888)
Ga0081608_1107	Methylotenera mobilis-123 (UID3888)
Ga0081608_1108	Methylotenera mobilis-123 (UID3888)
Ga0081608_1109	Methylotenera mobilis-123 (UID3888)
Ga0081608_1110	Methylotenera mobilis-123 (UID3888)
Ga0081608_1111	Methylotenera mobilis-123 (UID3888)
Ga0081608_1112	Methylotenera mobilis-123 (UID3888)
Ga0081608_1113	Methylotenera mobilis-123 (UID3888)
Ga0081608_1114	Methylotenera mobilis-123 (UID3888)
Ga0081608_1115	Methylotenera mobilis-123 (UID3888)
Ga0081608_1116	Methylotenera mobilis-123 (UID3888)
Ga0081608_1117	Methylotenera mobilis-123 (UID3888)
Ga0081608_1118	Methylotenera mobilis-123 (UID3888)
Ga0081608_1119	Methylotenera mobilis-123 (UID3888)
Ga0081608_1120	Methylotenera mobilis-123 (UID3888)
Ga0081608_1121	Methylotenera mobilis-123 (UID3888)
Ga0081608_1122	Methylotenera mobilis-123 (UID3888)
Ga0081608_1123	Methylotenera mobilis-123 (UID3888)
Ga0081608_1124	Methylotenera mobilis-123 (UID3888)
Ga0081608_1125	Methylotenera mobilis-123 (UID3888)
Ga0081608_1126	Methylotenera mobilis-123 (UID3888)
Ga0081608_1127	Methylotenera mobilis-123 (UID3888)
Ga0081608_1128	Methylotenera mobilis-123 (UID3888)
Ga0081608_1129	Methylotenera mobilis-123 (UID3888)
Ga0081608_1130	Methylotenera mobilis-123 (UID3888)
Ga0081608_1131	Methylotenera mobilis-123 (UID3888)
Ga0081608_1132	Methylotenera mobilis-123 (UID3888)
Ga0081608_1133	Methylotenera mobilis-123 (UID3888)
Ga0081608_1134	Methylotenera mobilis-123 (UID3888)
Ga0081608_1135	Methylotenera mobilis-123 (UID3888)
Ga0081608_1136	Methylotenera mobilis-123 (UID3888)
Ga0081608_1137	Methylotenera mobilis-123 (UID3888)
